City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,bazarnyy syzgan,53.7512,46.7535,282.23,76,52,5.46,RU,1712094781
203,nova sintra,14.8667,-24.7167,292.84,79,22,10.77,CV,1712094782
204,puerto carreno,6.189,-67.4859,299.14,94,95,3.09,CO,1712094782
205,labytnangi,66.6572,66.4183,263.96,84,57,6.74,RU,1712094782
206,karatau,43.1667,70.4667,280.5,62,73,0.84,KZ,1712094782
207,nuuk,64.1835,-51.7216,272.49,80,0,5.14,GL,1712094630
208,sungai penuh,-2.0833,101.3833,292.95,97,91,1.07,ID,1712094783
209,matsue,35.4722,133.0506,287.15,94,100,5.14,JP,1712094783
210,santo antonio do ica,-3.1022,-67.9397,301.1,82,96,1.01,BR,1712094783
211,tofol,5.3248,163.0078,301.21,80,100,9.21,FM,1712094783
212,chonchi,-42.6128,-73.8092,281.46,92,94,3.55,CL,1712094785
213,la ronge,55.1001,-105.2842,282.29,31,75,4.63,CA,1712094785
214,burutu,5.3509,5.5076,301.11,82,100,1.84,NG,1712094785
215,saint-junien,45.8833,0.9,283.47,96,100,3.72,FR,1712094785
216,hamilton,39.1834,-84.5333,295.84,82,100,7.72,US,1712094766
217,flin flon,54.7682,-101.865,281.06,39,20,3.6,CA,1712094786
218,howrah,22.5892,88.3103,301.15,83,7,0.0,IN,1712094786
219,yelizovo,53.1873,158.3805,274.23,55,75,1.0,RU,1712094786
220,chubek,37.6137,69.7061,284.19,91,100,2.98,TJ,1712094786
221,eldorado,-23.7869,-54.2836,300.33,54,64,2.26,BR,1712094236
222,ogoja,6.6547,8.7976,299.94,67,97,4.55,NG,1712094788
223,sierra grande,-41.606,-65.3557,293.77,31,100,18.14,AR,1712094756
224,sao francisco,-15.9486,-44.8644,296.13,92,100,0.75,BR,1712094789
225,papatowai,-46.5619,169.4708,286.89,70,100,1.75,NZ,1712094789
226,geraldton,-28.7667,114.6,296.38,38,69,5.66,AU,1712094789
227,happy valley-goose bay,53.3168,-60.3315,275.32,75,75,7.2,CA,1712094789
228,gorgan,36.8387,54.4348,280.13,93,0,0.0,IR,1712094790
229,bagayevskaya,47.32,40.38,288.64,65,100,3.67,RU,1712094790
230,ataq,14.5377,46.8319,295.53,58,90,1.24,YE,1712094790
231,qaqortoq,60.7167,-46.0333,266.88,82,0,1.43,GL,1712094790
232,ubinskoye,55.3068,79.6802,273.41,98,100,2.37,RU,1712094790
233,keflavik,64.0049,-22.5624,274.1,100,100,6.17,IS,1712094791
234,banes,20.9625,-75.7186,299.48,67,47,7.03,CU,1712094791
235,tvoroyri,61.5556,-6.8111,277.01,57,100,12.46,FO,1712094791
236,new norfolk,-42.7826,147.0587,282.99,83,70,1.06,AU,1712094792
237,vorgashor,67.5833,63.95,256.52,91,100,8.64,RU,1712094535
238,muisne,0.6,-80.0333,298.0,91,100,1.44,EC,1712094792
239,tanjung pandan,-2.75,107.65,298.82,91,59,1.32,ID,1712094792
240,akouda,35.8691,10.5653,289.38,66,1,2.51,TN,1712094793
241,bojnurd,37.4747,57.329,276.12,87,0,1.03,IR,1712094793
242,pacasmayo,-7.4006,-79.5714,297.05,72,62,5.24,PE,1712094793
243,yerofey pavlovich,53.9667,121.9667,266.0,85,54,2.1,RU,1712094793
244,sovetskiy,61.3614,63.5842,276.98,99,100,5.36,RU,1712094794
245,longyearbyen,78.2186,15.6401,256.06,71,75,5.66,SJ,1712094603
246,kill devil hills,36.0307,-75.676,296.15,75,0,4.63,US,1712094794
247,tutoia,-2.7619,-42.2744,299.92,87,100,2.56,BR,1712094794
248,santa terezinha,-29.9002,-50.0904,294.76,83,97,3.63,BR,1712094795
249,robit,12.0167,39.6333,291.59,87,90,1.54,ET,1712094795
250,saint-francois,46.4154,3.9054,284.62,69,0,1.54,FR,1712094795
251,farim,12.4839,-15.2217,302.05,34,4,2.32,GW,1712094795
252,jiuquan,39.7432,98.5174,281.49,42,95,3.59,CN,1712094795
253,ak-dovurak,51.1833,90.6,271.54,95,100,0.45,RU,1712094796
